Name,Typ,Adresse,Stadtteil,lat,lon,Quelle
"Marktbrunnen","fountain","Marktplatz, 12489 Berlin, Deutschland","Adlershof",52.4379525,13.5474448,OSM
"Handy & Laptop Technik","electronics","Dörpfeldstraße 21, 12489 Berlin, Deutschland","Adlershof",52.4369061,13.5455482,OSM
"Tierarzt Scheibner","veterinary","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4380728,13.5481783,OSM
"p two Restaurant & Cocktailbar","pub","Dörpfeldstraße 58, 12489 Berlin, Deutschland","Adlershof",52.4388659,13.5503857,OSM
"aqua b - WASSER & MEHR","water_filter","Thomas-Müntzer-Straße 6, 12489 Berlin, Deutschland","Adlershof",52.4364028,13.5452329,OSM
"Beauty Moments Nails","beauty","Genossenschaftsstraße 70, 12489 Berlin, Deutschland","Adlershof",52.4378013,13.5468506,OSM
"Salon Heike","hairdresser","Dörpfeldstraße 32, 12489 Berlin, Deutschland","Adlershof",52.4371599,13.5457545,OSM
"Babo Sushi","restaurant","Dörpfeldstraße 42A, 12489 Berlin, Deutschland","Adlershof",52.4375801,13.5469076,OSM
"Blumen Laden","florist","Dörpfeldstraße 50, 12489 Berlin, Deutschland","Adlershof",52.4383885,13.5491447,OSM
"Bäckerei Wahl","bakery","Dörpfeldstraße 30, 12489 Berlin, Deutschland","Adlershof",52.4370743,13.5454052,OSM
"Sibir","convenience","Dörpfeldstraße 62, 12489 Berlin, Deutschland","Adlershof",52.439069,13.5509485,OSM
"C&M Kuchenschnecke","bakery","Dörpfeldstraße 82, 12489 Berlin, Deutschland","Adlershof",52.4401135,13.5538435,OSM
"BGS 2000 Beckers Geräte Service e. K.","electrical","Dörpfeldstraße 67, 12489 Berlin, Deutschland","Adlershof",52.4396619,13.5525756,OSM
"Sounds & Vision Line","hifi","Dörpfeldstraße 38, 12489 Berlin, Deutschland","Adlershof",52.4373851,13.5463377,OSM
"Orient Cut","hairdresser","Genossenschaftsstraße 70, 12489 Berlin, Deutschland","Adlershof",52.4377473,13.5469123,OSM
"Lindenblatt + Gottzmann","wholesale","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4289045,13.5203967,OSM
"Zok Regattahandel","hardware","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4298452,13.5205736,OSM
"Wäscherei Dörschel","laundry","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4295478,13.5203061,OSM
"Patatorito Bowls","cafe","Dörpfeldstraße 24, 12489 Berlin, Deutschland","Adlershof",52.4367793,13.5447188,OSM
"Kamin Berlin Brandenburg","fireplace","Dörpfeldstraße 13, 12489 Berlin, Deutschland","Adlershof",52.4365251,13.5446462,OSM
"Mia Pizzaria","restaurant","Dörpfeldstraße 29, 12489 Berlin, Deutschland","Adlershof",52.4373718,13.5468957,OSM
"Kundenparkplatz Capitol","parking","Dörpfeldstraße 29, 12489 Berlin, Deutschland","Adlershof",52.4373542,13.5471043,OSM
"Getränke Hoffmann","beverages","Stienitzseestraße 2, 12489 Berlin, Deutschland","Adlershof",52.4417387,13.5527613,OSM
"Digital Service Center GmbH","photo","Am Studio 2, 12489 Berlin, Deutschland","Adlershof",52.4315389,13.5382864,OSM
"brillen.de","optician","Dörpfeldstraße 27, 12489 Berlin, Deutschland","Adlershof",52.4372706,13.5466224,OSM
"Dr. med. dent. Evelin und Agnes Rößner","dentist","Weerthstraße 7, 12489 Berlin, Deutschland","Adlershof",52.4348552,13.5438258,OSM
"ASIA Lebensmittel","convenience","Dörpfeldstraße 45, 12489 Berlin, Deutschland","Adlershof",52.4381824,13.5491157,OSM
"La Locanda","restaurant","Dörpfeldstraße 41, 12489 Berlin, Deutschland","Adlershof",52.4380562,13.548793,OSM
"Blumen und Geschenke","florist","Dörpfeldstraße 43, 12489 Berlin, Deutschland","Adlershof",52.4381143,13.5489454,OSM
"Beauty Nails &Hair","beauty","Dörpfeldstraße 41, 12489 Berlin, Deutschland","Adlershof",52.4380198,13.5487177,OSM
"O2","mobile_phone","Dörpfeldstraße 45, 12489 Berlin, Deutschland","Adlershof",52.4381595,13.5490564,OSM
"Schmuck Kühn Uhren","jewelry","Dörpfeldstraße 39, 12489 Berlin, Deutschland","Adlershof",52.4379841,13.5485649,OSM
"Zahnklinik Ost","dentist","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.43809,13.5481142,OSM
"Albert-Speisemanufaktur","restaurant","Johann-Hittorf-Straße 8, 12489 Berlin, Deutschland","Adlershof",52.4314537,13.5237891,OSM
"Institut für Psychologie (HU)","university","Rudower Chaussee 18, 12489 Berlin, Deutschland","Adlershof",52.4318038,13.5338379,OSM
"UniCredit Bank","bank","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4338086,13.5382031,OSM
"Apotheke an der Alten Schule","pharmacy","Dörpfeldstraße 55, 12489 Berlin, Deutschland","Adlershof",52.4387416,13.5506904,OSM
"SpeedBerlin","car_rental","Weerthstraße 6, 12489 Berlin, Deutschland","Adlershof",52.4345051,13.5437066,OSM
"Büchner","restaurant","Büchnerweg 30, 12489 Berlin, Deutschland","Adlershof",52.4359639,13.5549806,OSM
"HOME KIOSK SHOP","newsagent","Dörpfeldstraße 27, 12489 Berlin, Deutschland","Adlershof",52.4372265,13.5465489,OSM
"Berliner Volksbank","atm","OBI, Adlergestell 303, 12489 Berlin, Deutschland","Adlershof",52.4303592,13.5504931,OSM
"Kleine Elefanten","fountain","Arndtplatz, 12489 Berlin, Deutschland","Adlershof",52.4352335,13.553499,OSM
"Azuma","restaurant","Rudower Chaussee 9, 12489 Berlin, Deutschland","Adlershof",52.433011,13.5368508,OSM
"Tran Asia","restaurant","Anna-Seghers-Straße 109, 12489 Berlin, Deutschland","Adlershof",52.4359393,13.5431749,OSM
"dm","chemist","Dörpfeldstraße 35, 12489 Berlin, Deutschland","Adlershof",52.437657,13.5476812,OSM
"Asia Sushi Bar","fast_food","Rudower Chaussee 12, 12489 Berlin, Deutschland","Adlershof",52.4327558,13.5353669,OSM
"Werner-Sylten-Saal","community_centre","Rudower Straße 23, 12557 Berlin, Deutschland","Köpenick",52.4440035,13.5658705,OSM
"Familienzentrum Rudower Straße","community_centre","Rudower Straße 37, 12557 Berlin, Deutschland","Köpenick",52.443833,13.5645953,OSM
"Mehrgenerationenhaus Köpenick","community_centre","Rudower Straße 37, 12557 Berlin, Deutschland","Köpenick",52.443802,13.5644695,OSM
"MB Rent","car_rental","Daimler Truck AG, Neudecker Weg 6, 12355 Berlin, Deutschland","Rudow",52.4254078,13.5186419,OSM
"Norma","supermarket","Wassermannstraße 98, 12489 Berlin, Deutschland","Adlershof",52.4377511,13.5547611,OSM
"Glasbläserei Horst Müller","glaziery","Volmerstraße 13, 12489 Berlin, Deutschland","Adlershof",52.4285869,13.5396003,OSM
"Sportklause","pub","Lohnauer Steig 9, 12489 Berlin, Deutschland","Adlershof",52.4432824,13.5530785,OSM
"Eiscafe","cafe","Wassermannstraße 97, 12489 Berlin, Deutschland","Adlershof",52.4375884,13.5548778,OSM
"Trattoria Bella Italia","restaurant","Friedenstraße 12, 12489 Berlin, Deutschland","Adlershof",52.4357196,13.5481059,OSM
"Berliner Volksbank","bank","Am Studio 27, 12489 Berlin, Deutschland","Adlershof",52.4328568,13.5367968,OSM
"IL Porto","restaurant","Semmelweisstraße 104A, 12524 Berlin, Deutschland","Altglienicke",52.4256824,13.5276679,OSM
"Dr. med. Brigitte Bachmann","doctors","Anna-Seghers-Straße 118, 12489 Berlin, Deutschland","Adlershof",52.4351925,13.5436805,OSM
"Musikschule Viva la Musica (Zweigstelle)","music_school","Weerthstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4346494,13.5433836,OSM
"Evar Friseur","hairdresser","Adlergestell 261, 12489 Berlin, Deutschland","Adlershof",52.4351981,13.5421164,OSM
"Dr. med. vet. Susann Zimmer","veterinary","Weerthstraße 10, 12489 Berlin, Deutschland","Adlershof",52.4346817,13.544154,OSM
"Maybe Bar","pub","Platz der Befreiung 1, 12489 Berlin, Deutschland","Adlershof",52.4346291,13.5427681,OSM
"Denns BioMarkt","supermarket","Adlergestell 259, 12489 Berlin, Deutschland","Adlershof",52.4353773,13.5419279,OSM
"Currywurst Nr.1","fast_food","Dörpfeldstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4355614,13.5419167,OSM
"Praxis fuer Kieferorthopaedie","dentist","Dörpfeldstraße 11, 12489 Berlin, Deutschland","Adlershof",52.4363771,13.5443815,OSM
"Bistro Sonnenschein","canteen","Volmerstraße 9A, 12489 Berlin, Deutschland","Adlershof",52.4299935,13.537475,OSM
"Esswirtschaft","restaurant","Am Studio/Köpenicker STR., Am Studio, 12489 Berlin, Deutschland","Adlershof",52.4274847,13.5462618,OSM
"Praxis für Mund-, Kiefer-, Gesichtschirurgie","doctors","Gellertstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4362705,13.5442948,OSM
"Zahnarztpraxis Matthias Schütze","dentist","Gellertstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4362431,13.5443663,OSM
"Sesam Adlershof","interior_decoration","Hackenbergstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4390333,13.548466,OSM
"k kiosk","newsagent","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4381271,13.5480505,OSM
"Dr.med.dent. Birgit Kühne","dentist","Altheider Straße 31, 12489 Berlin, Deutschland","Adlershof",52.4380006,13.5434723,OSM
"Bäckerei in Denns Biomarkt","bakery","Adlergestell 259, 12489 Berlin, Deutschland","Adlershof",52.4354731,13.5417781,OSM
"Kosmetik La Escala","beauty","Hollstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4416079,13.5419285,OSM
"CleanCar","car_wash","Anna-Seghers-Straße, 12489 Berlin, Deutschland","Adlershof",52.4312289,13.5523372,OSM
"Joseph-Schmidt-Musikschule","music_school","Hans-Schmidt-Straße 6, 12489 Berlin, Deutschland","Adlershof",52.4351553,13.5350061,OSM
"FOOD","fast_food","Justus-von-Liebig-Straße, 12489 Berlin, Deutschland","Adlershof",52.4289873,13.5385751,OSM
"Ronnefeldt","tea","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4338586,13.5383025,OSM
"Würth","hardware","Volmerstraße 23, 12489 Berlin, Deutschland","Adlershof",52.4263772,13.5429474,OSM
"your`s fashion","clothes","Dörpfeldstraße 16, 12489 Berlin, Deutschland","Adlershof",52.4364562,13.5437904,OSM
"fashion nails & Änderungsschneiderei","beauty","Dörpfeldstraße 15, 12489 Berlin, Deutschland","Adlershof",52.4366474,13.5449015,OSM
"Wettbüro","bookmaker","Dörpfeldstraße 17, 12489 Berlin, Deutschland","Adlershof",52.4367555,13.5452251,OSM
"Stefanie Bumann und Team","hairdresser","Dörpfeldstraße 19, 12489 Berlin, Deutschland","Adlershof",52.4368367,13.5454462,OSM
"La Bella","hairdresser","Dörpfeldstraße 21, 12489 Berlin, Deutschland","Adlershof",52.4369339,13.5456888,OSM
"VIP Nail Spa 6","beauty","Dörpfeldstraße 40, 12489 Berlin, Deutschland","Adlershof",52.4373169,13.5467249,OSM
"Kita Nusshütte","kindergarten","Radickestraße 50, 12489 Berlin, Deutschland","Adlershof",52.4354607,13.5474917,OSM
